기준년도,시군명,지역교육청명,지역명,학교명,학교급명,설립구분명,주야간명,제외여부,제외사유,1학년학급수(개),2학년학급수(개),3학년학급수(개),4학년학급수(개),5학년학급수(개),6학년학급수(개),특수학급수(개),순회학급수(개),합계사항
2020,가평군,경기도가평교육지원청,경기도 가평군,조종중학교,,공립,,N,,3,2,3,,,,1,0,9
2020,가평군,경기도교육청,경기도 가평군,조종고등학교,,공립,,N,,4,4,4,,,,1,0,13
2020,가평군,경기도가평교육지원청,경기도 가평군,가평중학교,,공립,,N,,6,6,6,,,,2,1,21
2020,가평군,경기도가평교육지원청,경기도 가평군,가평북중학교,,공립,,N,,1,1,1,,,,0,0,3
2020,가평군,경기도가평교육지원청,경기도 가평군,설악중학교,,공립,,N,,3,3,3,,,,1,0,10
2020,가평군,경기도교육청,경기도 가평군,가평고등학교,,공립,,N,,8,8,8,,,,2,0,26
2020,가평군,경기도가평교육지원청,경기도 가평군,청심국제중학교,,사립,,N,,4,4,4,,,,0,0,12
2020,가평군,경기도가평교육지원청,경기도 가평군,가평마장초등학교,,공립,,N,,1,1,1,1,1,1,1,0,7
2020,가평군,경기도가평교육지원청,경기도 가평군,가평초등학교,,공립,,N,,5,5,5,5,5,5,2,0,32
2020,가평군,경기도가평교육지원청,경기도 가평군,대성초등학교,,공립,,N,,1,1,1,1,1,1,1,0,7
2020,가평군,경기도가평교육지원청,경기도 가평군,목동초등학교,,공립,,N,,1,1,1,1,1,1,1,0,7
2020,가평군,경기도가평교육지원청,경기도 가평군,목동초등학교명지분교장,,공립,,N,,0,1,0,1,1,0,0,0,3
2020,가평군,경기도가평교육지원청,경기도 가평군,미원초등학교,,공립,,N,,2,2,2,2,2,2,2,0,14
2020,가평군,경기도가평교육지원청,경기도 가평군,미원초등학교위곡분교장,,공립,,N,,0,1,0,1,1,1,0,0,4
2020,가평군,경기도가평교육지원청,경기도 가평군,미원초등학교장락분교장,,공립,,N,,1,0,0,0,1,1,1,0,4
2020,가평군,경기도가평교육지원청,경기도 가평군,방일초등학교,,공립,,N,,1,1,1,1,1,1,1,0,7
2020,가평군,경기도가평교육지원청,경기도 가평군,상면초등학교,,공립,,N,,1,1,1,1,1,1,1,0,7
2020,가평군,경기도교육청,경기도 가평군,설악고등학교,,공립,,N,,2,2,2,,,,1,0,7
2020,가평군,경기도가평교육지원청,경기도 가평군,상색초등학교,,공립,,N,,1,1,1,1,1,1,1,0,7
